ID,Req ID,Caso de Prueba,Módulo,Precondiciones,Pasos,Datos de Prueba,Resultado Esperado,Tipo,Resultado Actual,Estado,Tester,Fecha
TT-001,RF-01,Acceso a ruta protegida sin autenticación,Usuarios/Admin,Navegador sin sesión activa,1. Abrir `/dashboard` manualmente<br>2. Presionar Enter,URL=/dashboard,El sistema redirige a `/login` o bloquea el acceso sin mostrar información interna,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-002,RF-01,Inicio de sesión con campos vacíos,Usuarios/Admin,Pantalla `/login` cargada,1. Dejar usuario/correo vacío<br>2. Dejar contraseña vacía<br>3. Pulsar iniciar sesión,"correo='', contraseña=''",El sistema muestra validación de campos obligatorios y no autentica,Validación,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-003,RF-01,Inicio de sesión con contraseña incorrecta,Usuarios/Admin,Existe un administrador activo,1. Ingresar correo válido<br>2. Ingresar contraseña incorrecta<br>3. Enviar formulario,"correo=admin@test.com, contraseña=Test0000",El sistema rechaza el acceso y muestra mensaje de credenciales inválidas,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-004,RF-01,Inicio de sesión con usuario no registrado,Usuarios/Admin,Pantalla `/login` cargada,1. Ingresar correo inexistente<br>2. Ingresar contraseña cualquiera<br>3. Enviar formulario,correo=noexiste@test.com,El sistema rechaza el acceso sin revelar si el correo existe,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-005,RF-01,Bloqueo temporal por múltiples intentos fallidos,Usuarios/Admin,Existe un administrador activo,1. Ingresar contraseña incorrecta 5 veces<br>2. Intentar ingresar nuevamente,5 intentos fallidos,La cuenta queda bloqueada temporalmente y muestra mensaje de bloqueo,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-006,RF-01,Inicio de sesión exitoso de administrador,Usuarios/Admin,Administrador activo y credenciales válidas,1. Ingresar correo válido<br>2. Ingresar contraseña correcta<br>3. Pulsar iniciar sesión,credenciales válidas,"El sistema autentica, crea sesión y redirige al dashboard",Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-007,RF-01,Cierre de sesión desde el panel,Usuarios/Admin,Administrador autenticado en dashboard,1. Abrir menú o botón de sesión<br>2. Pulsar cerrar sesión<br>3. Intentar volver a `/dashboard`,Sesión activa,El sistema elimina sesión/token y redirige a login,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-008,RF-01,Verificación de sesión expirada o token inválido,Usuarios/Admin,"Token alterado, vencido o eliminado",1. Modificar/eliminar token local<br>2. Recargar una ruta protegida,token inválido,El sistema rechaza la sesión y limpia datos locales,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-009,RF-02,Solicitar recuperación con correo vacío,Recuperación,Pantalla o endpoint de recuperación disponible,1. Enviar formulario sin correo,correo='',El sistema muestra mensaje indicando que el correo es requerido,Validación,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-010,RF-02,Solicitar recuperación con correo existente,Recuperación,Email configurado y admin registrado,1. Ingresar correo registrado<br>2. Enviar solicitud,correo=admin@test.com,El sistema genera token de recuperación y envía correo con enlace,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-011,RF-02,Solicitar recuperación con correo no registrado,Recuperación,Endpoint disponible,1. Ingresar correo inexistente<br>2. Enviar solicitud,correo=noexiste@test.com,El sistema muestra respuesta genérica sin revelar existencia del correo,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-012,RF-02,Restablecer contraseña con clave débil,Recuperación,Token de recuperación válido,1. Abrir enlace de reset<br>2. Ingresar contraseña débil<br>3. Guardar,contraseña=abc123,El sistema rechaza la contraseña y muestra reglas mínimas,Validación,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-013,RF-02,Restablecer contraseña exitosamente,Recuperación,Token de recuperación válido,1. Abrir enlace de reset<br>2. Ingresar contraseña fuerte<br>3. Guardar<br>4. Iniciar sesión con nueva contraseña,contraseña=TotemTest123!,"El sistema actualiza contraseña, invalida token y permite login con la nueva clave",Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-014,RF-02,Acceso a administración de usuarios como admin de sede,Administradores,Usuario con rol admin autenticado,1. Navegar a `/administradores`<br>2. Intentar listar o crear admins,rol=admin,El sistema bloquea acceso y redirige o responde 403,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
